2020-04-15 08:03:10 - INFO: ___Sample,_lat_deg,_lon_deg,_CPU_Temp,_____Temp,____Press,____Humid,_____Roll,____Pitch,______Yaw,_____MagX,_____MagY,_____MagZ,_____AccX,_____AccY,_____AccZ,____GyroX,____GyroY,____GyroZ
2020-04-15 08:07:54 - INFO: 29,49.6259,42.2212,30.4,26.09,992.5,42.64,20.1008,77.8347,70.7044,27.4777,-8.0816,24.9048,-0.001,0.0061,0.0154,0.2347,0.2048,0.0776
2020-04-15 08:08:04 - INFO: 30,49.8244,43.2319,29.86,26.22,992.51,42.69,323.7748,163.6496,111.5095,27.4705,-7.7186,25.1699,-0.0015,0.0041,0.0136,0.2301,0.2064,0.0748
2020-04-15 08:08:14 - INFO: 31,49.9963,44.1581,30.4,26.18,992.48,42.88,328.6137,340.7258,15.6287,27.7278,-8.1917,25.628,-0.0015,0.0046,0.0141,0.2356,0.2024,0.0757
2020-04-15 08:08:24 - INFO: 32,50.1602,45.0911,30.4,26.24,992.54,42.74,20.4983,76.5746,68.7767,28.0271,-8.2271,25.686,-0.0015,0.0056,0.0149,0.2341,0.2048,0.077
2020-04-15 08:08:34 - INFO: 33,50.3159,46.0307,30.4,26.2,992.49,42.96,325.3255,163.0737,110.9874,28.3074,-8.261,26.0151,-0.0012,0.0053,0.0141,0.2344,0.2052,0.076
2020-04-15 08:08:44 - INFO: 34,50.4632,46.9766,30.4,26.26,992.52,43.2,328.9472,339.6645,14.7881,28.9023,-8.1362,25.8665,-0.0005,0.0058,0.0154,0.2341,0.2055,0.0773
2020-04-15 08:08:54 - INFO: 35,50.6021,47.9284,30.4,26.17,992.5,43.08,20.9847,76.3979,67.4956,29.0391,-8.2116,25.8949,-0.001,0.0046,0.0144,0.2322,0.2042,0.0764
2020-04-15 08:09:04 - INFO: 36,50.7325,48.886,30.4,26.15,992.48,42.41,325.6703,163.4382,110.0251,29.201,-7.9883,26.0085,-0.0012,0.0068,0.0161,0.235,0.2058,0.076
2020-04-15 08:09:15 - INFO: 37,50.866,49.9456,30.4,26.26,992.56,42.67,327.8905,339.2254,14.587,29.3722,-8.236,26.3079,-0.001,0.0044,0.0115,0.2313,0.2064,0.0745
2020-04-15 08:09:25 - INFO: 38,50.9783,50.9141,29.86,26.15,992.52,42.72,20.3839,75.3576,66.9891,29.7262,-8.5986,26.3585,-0.0012,0.0046,0.0156,0.235,0.2073,0.0754
2020-04-15 08:09:35 - INFO: 39,51.0818,51.8874,30.94,26.24,992.48,42.76,326.4168,161.9552,110.9353,30.246,-8.5952,26.7491,-0.002,0.0051,0.0134,0.2377,0.207,0.0779
2020-04-15 08:09:45 - INFO: 40,51.1764,52.8651,30.4,26.13,992.49,42.97,327.2465,338.337,15.3239,30.3202,-8.5622,26.1096,-0.0012,0.0051,0.0151,0.2353,0.2055,0.077
2020-04-15 08:09:55 - INFO: 41,51.2622,53.8467,30.4,26.2,992.52,43.12,19.6434,74.8143,66.6312,30.6538,-8.6916,26.3701,-0.0007,0.0046,0.0151,0.2386,0.2045,0.0773
2020-04-15 08:10:05 - INFO: 42,51.339,54.832,30.94,26.18,992.52,42.74,325.5505,160.659,110.9725,30.7616,-8.6291,26.52,-0.001,0.0061,0.0158,0.2328,0.2061,0.0773
2020-04-15 08:10:15 - INFO: 43,51.4067,55.8205,30.4,26.17,992.51,42.92,326.7321,339.5211,14.5445,30.903,-8.6523,27.0365,-0.0012,0.0053,0.0161,0.235,0.2048,0.077
2020-04-15 08:10:25 - INFO: 44,51.4654,56.8119,30.4,26.22,992.51,42.71,19.2563,75.0549,66.6422,30.585,-8.7111,27.4066,-0.001,0.0051,0.0139,0.2334,0.2061,0.0773
2020-04-15 08:10:36 - INFO: 45,51.515,57.8057,30.4,26.17,992.5,43.04,325.9016,160.5807,111.3776,30.4878,-8.9756,27.1331,-0.002,0.0044,0.0141,0.2322,0.2067,0.0764
2020-04-15 08:10:46 - INFO: 46,51.559,58.9013,30.4,26.15,992.52,42.93,326.4551,339.0589,14.7052,31.1054,-8.7517,27.0692,-0.002,0.0058,0.0146,0.2368,0.2055,0.077
2020-04-15 08:10:56 - INFO: 47,51.5893,59.899,29.86,26.22,992.54,42.08,19.6052,74.4586,66.2913,31.6064,-8.943,27.1644,-0.001,0.0063,0.0149,0.2356,0.2055,0.076
2020-04-15 08:11:06 - INFO: 48,51.6105,60.8979,30.4,26.24,992.53,43.34,325.8596,160.1477,110.941,31.7717,-9.7487,27.9632,-0.0017,0.0053,0.0161,0.2328,0.2064,0.0782
2020-04-15 08:11:16 - INFO: 49,51.6224,61.8975,29.86,26.29,992.5,41.38,326.2022,338.9634,14.0761,31.8118,-9.4426,28.1518,-0.001,0.0056,0.0129,0.2362,0.2048,0.077
2020-04-15 08:11:26 - INFO: 50,51.6251,62.8975,30.4,26.18,992.59,42.61,19.7404,73.7629,65.7551,31.8802,-9.3285,28.2252,-0.0015,0.0053,0.0149,0.2368,0.2033,0.0794
2020-04-15 08:11:36 - INFO: 51,51.6185,63.8974,29.32,26.2,992.51,42.37,326.4701,160.9541,109.5988,32.264,-9.4671,28.2875,-0.0012,0.0051,0.0136,0.2322,0.2061,0.0764
2020-04-15 08:11:46 - INFO: 52,51.6028,64.8968,30.4,26.17,992.52,42.55,326.9917,338.1324,13.8186,32.1952,-9.6428,28.636,-0.0015,0.0049,0.0154,0.2341,0.2067,0.077
2020-04-15 08:11:57 - INFO: 53,51.5778,65.8952,30.4,26.24,992.54,42.16,20.8532,74.3269,65.7519,32.2262,-9.5602,29.1005,-0.0017,0.0053,0.0119,0.2319,0.2067,0.0764
2020-04-15 08:12:07 - INFO: 54,51.5397,66.992,30.4,26.18,992.52,42.1,326.6549,162.1008,109.4147,32.4193,-10.4291,29.9267,-0.0005,0.0063,0.0136,0.2365,0.2052,0.0767
2020-04-15 08:12:17 - INFO: 55,51.4955,67.9871,30.94,26.2,992.52,43.06,327.9139,337.8489,13.8237,32.4774,-10.5455,30.012,-0.0012,0.0051,0.0144,0.2331,0.2058,0.0791
2020-04-15 08:12:27 - INFO: 56,51.4421,68.98,30.4,26.22,992.51,42.72,21.3181,74.8146,65.871,32.7436,-10.238,29.9719,-0.001,0.0051,0.0171,0.2362,0.2036,0.0776
2020-04-15 08:12:37 - INFO: 57,51.3796,69.9703,30.4,26.18,992.52,42.49,327.0473,162.467,109.1182,32.8994,-10.4631,30.4902,-0.001,0.0053,0.0166,0.235,0.2082,0.0757
2020-04-15 08:12:47 - INFO: 58,51.3081,70.9576,30.4,26.15,992.53,42.1,328.1652,337.038,14.2037,32.7691,-10.3769,30.0806,-0.0012,0.0051,0.0163,0.2328,0.2076,0.0776
2020-04-15 08:12:57 - INFO: 59,51.2276,71.9415,30.4,26.22,992.54,43.28,21.9674,74.9978,65.2659,32.5819,-10.7129,30.9523,-0.0015,0.0046,0.0139,0.2347,0.2061,0.0764
2020-04-15 08:13:07 - INFO: 60,51.1381,72.9216,30.94,26.24,992.52,43.59,327.0712,162.3867,108.5778,32.8795,-10.9327,31.0699,-0.0007,0.0061,0.0161,0.2359,0.2061,0.0776
2020-04-15 08:13:18 - INFO: 61,51.0398,73.8975,29.86,26.26,992.55,42.79,328.0284,336.3768,14.7712,33.1815,-10.8436,31.6369,-0.002,0.0056,0.0151,0.2356,0.2061,0.0764
2020-04-15 08:13:28 - INFO: 62,50.9214,74.9659,30.4,26.15,992.53,42.82,21.0346,73.5225,64.4031,33.4991,-10.6505,31.6322,-0.0015,0.0056,0.0149,0.2344,0.2048,0.0764
2020-04-15 08:13:38 - INFO: 63,50.8046,75.932,30.4,26.15,992.51,42.71,327.2644,161.3769,108.5196,33.6522,-10.9476,31.5841,-0.0017,0.0056,0.0163,0.2341,0.2048,0.0776
2020-04-15 08:13:48 - INFO: 64,50.6792,76.8928,30.4,26.15,992.51,42.78,327.5939,336.3129,13.3785,33.6246,-11.0368,32.0457,-0.0012,0.0053,0.0158,0.2356,0.2039,0.0764
